facet_raw,facet_normalized,facet_type,conversation_observable,sensitivity,scoring_definition,abstention_reason
confidence,confidence,behavioral,True,low,Evaluate degree of conversational evidence supporting confidence (Type: behavioral) on a 1-5 scale.,
 communication skill ,communication skill,communication,True,low,Evaluate degree of conversational evidence supporting communication skill (Type: communication) on a 1-5 scale.,
leadership,leadership,behavioral,True,low,Evaluate degree of conversational evidence supporting leadership (Type: behavioral) on a 1-5 scale.,
stress,stress,emotional_expression,True,low,Evaluate degree of conversational evidence supporting stress (Type: emotional_expression) on a 1-5 scale.,
technical ability,technical ability,skill,True,low,Evaluate degree of conversational evidence supporting technical ability (Type: skill) on a 1-5 scale.,
blood pressure,blood pressure,medical,False,medium,Evaluate degree of conversational evidence supporting blood pressure (Type: medical) on a 1-5 scale.,Medical measurements and clinical diagnoses cannot be inferred from conversational text without explicit reported lab values.
age,age,biographical,False,medium,Evaluate degree of conversational evidence supporting age (Type: biographical) on a 1-5 scale.,Attribute requires explicit external or physical measurement.
medical conditions,medical conditions,medical,False,medium,Evaluate degree of conversational evidence supporting medical conditions (Type: medical) on a 1-5 scale.,Medical measurements and clinical diagnoses cannot be inferred from conversational text without explicit reported lab values.
diabetes diagnosis,diabetes diagnosis,medical,False,medium,Evaluate degree of conversational evidence supporting diabetes diagnosis (Type: medical) on a 1-5 scale.,Medical measurements and clinical diagnoses cannot be inferred from conversational text without explicit reported lab values.
presentation skill,presentation skill,communication,True,low,Evaluate degree of conversational evidence supporting presentation skill (Type: communication) on a 1-5 scale.,
problem solving,problem solving,skill,True,low,Evaluate degree of conversational evidence supporting problem solving (Type: skill) on a 1-5 scale.,
father's employment status,father's employment status,biographical,False,medium,Evaluate degree of conversational evidence supporting father's employment status (Type: biographical) on a 1-5 scale.,Statements regarding third parties or external official evaluations are not direct evidence of the speaker's own attributes.
friend's salary,friend's salary,external_fact,False,low,Evaluate degree of conversational evidence supporting friend's salary (Type: external_fact) on a 1-5 scale.,Statements regarding third parties or external official evaluations are not direct evidence of the speaker's own attributes.
bank account balance,bank account balance,financial,False,high,Evaluate degree of conversational evidence supporting bank account balance (Type: financial) on a 1-5 scale.,Private financial metrics require explicit self-reported numerical disclosures.
emotional stability,emotional stability,emotional_expression,True,low,Evaluate degree of conversational evidence supporting emotional stability (Type: emotional_expression) on a 1-5 scale.,
empathy,empathy,communication,True,low,Evaluate degree of conversational evidence supporting empathy (Type: communication) on a 1-5 scale.,
sarcasm_sensitivity,sarcasm_sensitivity,communication,True,low,Evaluate degree of conversational evidence supporting sarcasm_sensitivity (Type: communication) on a 1-5 scale.,
code-switching fluency,code-switching fluency,communication,True,low,Evaluate degree of conversational evidence supporting code-switching fluency (Type: communication) on a 1-5 scale.,
cholesterol level,cholesterol level,medical,False,medium,Evaluate degree of conversational evidence supporting cholesterol level (Type: medical) on a 1-5 scale.,Medical measurements and clinical diagnoses cannot be inferred from conversational text without explicit reported lab values.
heart rate,heart rate,medical,False,medium,Evaluate degree of conversational evidence supporting heart rate (Type: medical) on a 1-5 scale.,Medical measurements and clinical diagnoses cannot be inferred from conversational text without explicit reported lab values.
years of experience,years of experience,biographical,False,medium,Evaluate degree of conversational evidence supporting years of experience (Type: biographical) on a 1-5 scale.,Attribute requires explicit external or physical measurement.
current employer,current employer,biographical,False,medium,Evaluate degree of conversational evidence supporting current employer (Type: biographical) on a 1-5 scale.,Attribute requires explicit external or physical measurement.
anxiety,anxiety,emotional_expression,True,low,Evaluate degree of conversational evidence supporting anxiety (Type: emotional_expression) on a 1-5 scale.,
depression diagnosis,depression diagnosis,medical,False,medium,Evaluate degree of conversational evidence supporting depression diagnosis (Type: medical) on a 1-5 scale.,Medical measurements and clinical diagnoses cannot be inferred from conversational text without explicit reported lab values.
team management,team management,behavioral,True,low,Evaluate degree of conversational evidence supporting team management (Type: behavioral) on a 1-5 scale.,
conflict resolution,conflict resolution,communication,True,low,Evaluate degree of conversational evidence supporting conflict resolution (Type: communication) on a 1-5 scale.,
negotiation skill,negotiation skill,communication,True,low,Evaluate degree of conversational evidence supporting negotiation skill (Type: communication) on a 1-5 scale.,
spoken english fluency,spoken english fluency,communication,True,low,Evaluate degree of conversational evidence supporting spoken english fluency (Type: communication) on a 1-5 scale.,
hindi language usage,hindi language usage,communication,True,low,Evaluate degree of conversational evidence supporting hindi language usage (Type: communication) on a 1-5 scale.,
manager rating,manager rating,external_fact,False,low,Evaluate degree of conversational evidence supporting manager rating (Type: external_fact) on a 1-5 scale.,Statements regarding third parties or external official evaluations are not direct evidence of the speaker's own attributes.
credit score,credit score,financial,False,high,Evaluate degree of conversational evidence supporting credit score (Type: financial) on a 1-5 scale.,Private financial metrics require explicit self-reported numerical disclosures.
criminal record,criminal record,sensitive,False,high,Evaluate degree of conversational evidence supporting criminal record (Type: sensitive) on a 1-5 scale.,Sensitive legal or personal background attributes are non-observable from general conversation.
political affiliation,political affiliation,sensitive,False,high,Evaluate degree of conversational evidence supporting political affiliation (Type: sensitive) on a 1-5 scale.,Sensitive legal or personal background attributes are non-observable from general conversation.
religious background,religious background,sensitive,False,high,Evaluate degree of conversational evidence supporting religious background (Type: sensitive) on a 1-5 scale.,Sensitive legal or personal background attributes are non-observable from general conversation.
listening skill,listening skill,communication,True,low,Evaluate degree of conversational evidence supporting listening skill (Type: communication) on a 1-5 scale.,
time management,time management,skill,True,low,Evaluate degree of conversational evidence supporting time management (Type: skill) on a 1-5 scale.,
adaptability,adaptability,behavioral,True,low,Evaluate degree of conversational evidence supporting adaptability (Type: behavioral) on a 1-5 scale.,
frustration level,frustration level,emotional_expression,True,low,Evaluate degree of conversational evidence supporting frustration level (Type: emotional_expression) on a 1-5 scale.,
enthusiasm,enthusiasm,emotional_expression,True,low,Evaluate degree of conversational evidence supporting enthusiasm (Type: emotional_expression) on a 1-5 scale.,
assertiveness,assertiveness,communication,True,low,Evaluate degree of conversational evidence supporting assertiveness (Type: communication) on a 1-5 scale.,
humor / irony,humor / irony,communication,True,low,Evaluate degree of conversational evidence supporting humor / irony (Type: communication) on a 1-5 scale.,
mother's medical history,mother's medical history,medical,False,medium,Evaluate degree of conversational evidence supporting mother's medical history (Type: medical) on a 1-5 scale.,Medical measurements and clinical diagnoses cannot be inferred from conversational text without explicit reported lab values.
body weight (kg),body weight (kg),medical,False,medium,Evaluate degree of conversational evidence supporting body weight (kg) (Type: medical) on a 1-5 scale.,Medical measurements and clinical diagnoses cannot be inferred from conversational text without explicit reported lab values.
sleep quality,sleep quality,preference,True,low,Evaluate degree of conversational evidence supporting sleep quality (Type: preference) on a 1-5 scale.,
decision making under pressure,decision making under pressure,skill,True,low,Evaluate degree of conversational evidence supporting decision making under pressure (Type: skill) on a 1-5 scale.,
project management proficiency,project management proficiency,skill,True,low,Evaluate degree of conversational evidence supporting project management proficiency (Type: skill) on a 1-5 scale.,
python programming competence,python programming competence,skill,True,low,Evaluate degree of conversational evidence supporting python programming competence (Type: skill) on a 1-5 scale.,
SQL query writing,sql query writing,skill,True,low,Evaluate degree of conversational evidence supporting sql query writing (Type: skill) on a 1-5 scale.,
salary expectations,salary expectations,financial,False,high,Evaluate degree of conversational evidence supporting salary expectations (Type: financial) on a 1-5 scale.,Private financial metrics require explicit self-reported numerical disclosures.
home address,home address,sensitive,False,high,Evaluate degree of conversational evidence supporting home address (Type: sensitive) on a 1-5 scale.,Sensitive legal or personal background attributes are non-observable from general conversation.
IQ score,iq score,external_fact,False,low,Evaluate degree of conversational evidence supporting iq score (Type: external_fact) on a 1-5 scale.,Formal external test scores or academic metrics require explicit documentation.
GPA,gpa,external_fact,False,low,Evaluate degree of conversational evidence supporting gpa (Type: external_fact) on a 1-5 scale.,Formal external test scores or academic metrics require explicit documentation.
work-life balance satisfaction,work-life balance satisfaction,financial,False,high,Evaluate degree of conversational evidence supporting work-life balance satisfaction (Type: financial) on a 1-5 scale.,Private financial metrics require explicit self-reported numerical disclosures.
self-confidence,self-confidence,behavioral,True,low,Evaluate degree of conversational evidence supporting self-confidence (Type: behavioral) on a 1-5 scale.,
